PA,SZ,tier_2025,senior_pop_2025_val,tier_2030,senior_pop_proj_val
Ang Mo Kio,Ang Mo Kio Town Centre,Well-Served,950,Well-Served,1058.9284822580014
Ang Mo Kio,Cheng San,Well-Served,6970,Well-Served,7829.954270240062
Ang Mo Kio,Chong Boon,Well-Served,7390,Well-Served,8418.294333987897
Ang Mo Kio,Kebun Bahru,Well-Served,5840,Well-Served,6579.615179824478
Ang Mo Kio,Sembawang Hills,High Pressure,1470,High Pressure,1571.362769637204
Ang Mo Kio,Shangri-La,Well-Served,4510,Well-Served,5349.949280397728
Ang Mo Kio,Tagore,High Pressure,2030,High Pressure,2487.941575659126
Ang Mo Kio,Townsville,Well-Served,5680,Well-Served,6307.446036576315
Ang Mo Kio,Yio Chu Kang,Well-Served,130,Well-Served,47.611301726747
Ang Mo Kio,Yio Chu Kang East,Well-Served,1000,Well-Served,1181.1566487330188
Ang Mo Kio,Yio Chu Kang West,Well-Served,5890,Well-Served,6943.380440940321
Bedok,Bayshore,Well-Served,1230,Well-Served,1552.6633224674922
Bedok,Bedok North,Well-Served,20450,Well-Served,23917.470797601723
Bedok,Bedok Reservoir,Well-Served,4690,Well-Served,5789.548667312405
Bedok,Bedok South,Well-Served,12280,Well-Served,14589.82957413718
Bedok,Frankel,Well-Served,6630,Well-Served,7454.849210509736
Bedok,Kaki Bukit,Emerging Pressure,8490,Emerging Pressure,10445.815698333136
Bedok,Kembangan,Well-Served,9440,Well-Served,11183.12188968253
Bedok,Siglap,Well-Served,1920,Well-Served,2163.667603222328
Bishan,Bishan East,Well-Served,6930,Well-Served,8349.501791362327
Bishan,Marymount,Well-Served,5960,Well-Served,7404.959974989713
Bishan,Upper Thomson,Well-Served,7060,Well-Served,8205.35759977757
Bukit Batok,Brickworks,Well-Served,2800,Well-Served,3450.5034115658427
Bukit Batok,Bukit Batok Central,Well-Served,5740,Well-Served,7345.895857745715
Bukit Batok,Bukit Batok East,Well-Served,3070,Well-Served,3765.3121496929257
Bukit Batok,Bukit Batok South,Well-Served,2450,Well-Served,3236.2923353303117
Bukit Batok,Bukit Batok West,Well-Served,3110,Well-Served,3778.055024428331
Bukit Batok,Gombak,High Pressure,1890,High Pressure,2259.192606192128
Bukit Batok,Guilin,Well-Served,2460,Well-Served,3055.796887553916
Bukit Batok,Hillview,Well-Served,3530,Well-Served,4554.316228339916
Bukit Batok,Hong Kah North,Well-Served,5620,Well-Served,7117.816058880754
Bukit Merah,Alexandra Hill,Well-Served,3710,Well-Served,4121.970695785138
Bukit Merah,Alexandra North,Emerging Pressure,240,Emerging Pressure,321.1514320442903
Bukit Merah,Bukit Ho Swee,Well-Served,4020,Well-Served,4372.4879350720375
Bukit Merah,Bukit Merah,Well-Served,310,Well-Served,399.7994293515504
Bukit Merah,Depot Road,Well-Served,1230,Well-Served,1386.601839683346
Bukit Merah,Everton Park,Well-Served,1990,Well-Served,2096.7605024571476
Bukit Merah,Henderson Hill,Well-Served,3550,Well-Served,4111.304233199926
Bukit Merah,Kampong Tiong Bahru,Well-Served,2790,Well-Served,3142.6578864284797
Bukit Merah,Maritime Square,Well-Served,720,Well-Served,949.3741392658485
Bukit Merah,Redhill,Well-Served,1960,Well-Served,1910.828367880223
Bukit Merah,Telok Blangah Drive,Well-Served,4350,Well-Served,4917.757826353327
Bukit Merah,Telok Blangah Rise,Well-Served,3760,Well-Served,4212.604374720462
Bukit Merah,Telok Blangah Way,Well-Served,2540,Well-Served,2687.9086376707646
Bukit Merah,Tiong Bahru,High Pressure,2700,High Pressure,3307.0259655186583
Bukit Merah,Tiong Bahru Station,Well-Served,3230,Well-Served,3591.2588022420578
Bukit Panjang,Bangkit,Well-Served,4870,Well-Served,6086.623143436329
Bukit Panjang,Dairy Farm,Emerging Pressure,990,High Pressure,1260.4768939494222
Bukit Panjang,Fajar,Well-Served,4320,Well-Served,5445.995388075388
Bukit Panjang,Jelebu,Well-Served,6150,Well-Served,7649.837756673544
Bukit Panjang,Nature Reserve,Emerging Pressure,690,Emerging Pressure,894.8547595224732
Bukit Panjang,Saujana,High Pressure,3780,High Pressure,4985.765345447198
Bukit Panjang,Senja,Well-Served,3860,Well-Served,4652.399102557877
Bukit Timah,Anak Bukit,Well-Served,4940,Well-Served,5924.578115599386
Bukit Timah,Coronation Road,Well-Served,1240,Well-Served,1349.4404412069946
Bukit Timah,Farrer Court,Well-Served,1030,Well-Served,1236.99008754292
Bukit Timah,Hillcrest,High Pressure,1710,High Pressure,1929.9082144876427
Bukit Timah,Holland Road,Well-Served,1870,Well-Served,2204.972204265154
Bukit Timah,Leedon Park,Well-Served,1420,Well-Served,1607.9781377612783
Bukit Timah,Swiss Club,Emerging Pressure,1070,High Pressure,1224.9150804886046
